ride_id,PULocationID,DOLocationID
green-2021-02-2,152,48
green-2021-02-12,75,238
green-2021-02-14,244,235
green-2021-02-23,116,220
green-2021-02-32,74,244
green-2021-02-35468,7,7
green-2021-02-37,74,75
green-2021-02-38,74,263
green-2021-02-41,74,75
green-2021-02-35495,151,219
green-2021-02-35498,35,55
green-2021-02-35504,151,254
green-2021-02-35503,213,47
green-2021-02-44,61,25
green-2021-02-35494,117,194
green-2021-02-35488,194,145
green-2021-02-35500,205,262
green-2021-02-51,7,226
green-2021-02-35520,108,55
green-2021-02-35518,11,222
